time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.935006,-0.0033,0.0158,0.0153,0.022
1.948658,-0.0033,-0.0103,-0.0226,0.025
1.955096,-0.0081,0.0133,0.0037,0.016
1.967169,-0.0009,-0.0127,-0.0246,0.028
1.984199,-0.0006,0.0135,-0.0171,0.022
1.985276,0.0135,-0.0009,-0.0074,0.015
1.998664,-0.0007,0.0065,-0.0003,0.007
2.005395,0.0042,0.0040,0.0515,0.052
2.018776,0.0289,0.0105,0.0907,0.096
2.037238,-0.0499,-0.0370,0.1622,0.174
2.038561,-0.0258,-0.0128,0.0370,0.047
2.049982,-0.0020,-0.0054,-0.0318,0.032
2.057294,-0.0091,-0.0217,-0.0172,0.029
2.067588,-0.0114,0.0067,-0.0216,0.025
2.080558,-0.0090,-0.0005,-0.0048,0.010
2.085394,-0.0211,-0.0028,0.0000,0.021
2.098243,-0.0112,-0.0029,0.0047,0.013
2.105634,0.0030,-0.0052,-0.0048,0.008
2.119149,-0.0017,0.0066,-0.0118,0.014
2.135179,-0.0063,0.0042,-0.0139,0.016
2.136305,0.0008,-0.0030,0.0099,0.010
2.150754,-0.0039,0.0207,-0.0021,0.021
2.155408,-0.0131,0.0088,-0.0185,0.024
2.172240,0.0077,-0.0129,-0.1171,0.118
2.182400,0.0076,-0.0079,-0.2823,0.283
2.185804,0.0146,-0.0122,-0.0092,0.021
2.201990,-0.0067,-0.0001,-0.0349,0.036
2.205749,0.0075,-0.0047,0.0221,0.024
2.218066,-0.0069,-0.0116,0.0076,0.016
2.235024,-0.0138,-0.0185,-0.0090,0.025
2.236176,0.0051,-0.0133,0.0124,0.019
2.250286,-0.0159,0.0013,-0.0067,0.017
2.256232,0.0008,0.0086,-0.0065,0.011
2.268889,0.0032,0.0109,0.0100,0.015
2.286221,-0.0064,-0.0104,0.0075,0.014
2.287317,-0.0062,-0.0126,-0.0044,0.015
2.304421,-0.0226,0.0063,-0.1856,0.187
2.305489,0.0417,-0.0101,-0.2413,0.245
2.318931,0.0081,-0.0028,-0.0160,0.018
2.333892,0.0034,0.0139,-0.0369,0.040
2.336788,-0.0203,-0.0004,0.0296,0.036
2.350047,-0.0060,0.0137,0.0103,0.018
2.356301,-0.0130,-0.0005,0.0172,0.022
2.368619,-0.0083,-0.0004,0.0145,0.017
2.386937,0.0060,0.0112,-0.0069,0.014
2.388087,-0.0084,-0.0053,0.0050,0.011
2.400696,-0.0036,0.0160,-0.0092,0.019
2.406955,0.0106,0.0063,0.0003,0.012
2.421571,-0.0177,-0.0056,0.0121,0.022
2.438504,0.0132,-0.0033,0.0166,0.021
2.439490,-0.0033,-0.0008,-0.0260,0.026
2.451712,0.0358,0.0174,-0.0586,0.071
2.468995,-0.0316,-0.0491,0.1496,0.161
2.470114,-0.0360,-0.0320,0.0270,0.055
2.485160,-0.0072,-0.0222,-0.0182,0.030
2.486238,-0.0141,-0.0054,-0.0085,0.017
2.501739,-0.0022,-0.0265,-0.0083,0.028
2.519562,-0.0095,-0.0028,-0.0011,0.010
2.520755,-0.0025,0.0186,0.0130,0.023
2.534558,-0.0003,-0.0054,0.0128,0.014
2.537458,-0.0002,-0.0078,-0.0133,0.015
2.551751,-0.0026,-0.0076,-0.0037,0.009
2.557094,0.0067,0.0043,-0.0060,0.010
2.567335,-0.0029,0.0207,0.0177,0.027
2.586177,-0.0123,-0.0008,-0.0462,0.048
2.587312,0.0041,0.0037,-0.0501,0.050
2.601308,-0.0082,0.0012,0.4074,0.408
2.622232,-0.0368,-0.0152,0.0428,0.058
2.623360,0.0014,-0.0079,0.0256,0.027
2.633857,-0.0060,0.0016,-0.0078,0.010
2.647532,-0.0059,-0.0055,-0.0241,0.025
2.649061,-0.0036,-0.0076,0.0069,0.011
2.657706,-0.0152,-0.0099,-0.0003,0.018
2.667638,-0.0127,-0.0026,0.0021,0.013
2.684211,-0.0077,-0.0074,-0.0074,0.013
2.687428,-0.0055,0.0045,-0.0120,0.014
2.699321,0.0040,0.0209,-0.0071,0.022
2.715016,-0.0081,-0.0053,-0.0069,0.012
2.717333,0.0037,-0.0075,0.0026,0.009
2.731038,0.0106,-0.0096,0.0002,0.014
2.737389,-0.0081,0.0118,0.0049,0.015
2.747925,0.0053,0.0110,0.0189,0.023
2.763885,-0.0450,-0.0199,0.0539,0.073
2.767036,-0.0069,-0.0100,0.0248,0.028
2.782445,-0.0115,-0.0005,-0.0180,0.021
2.787408,-0.0114,0.0138,-0.0130,0.022
2.800262,-0.0185,-0.0030,-0.0081,0.020
2.818112,-0.0040,-0.0194,-0.0126,0.024
2.819281,-0.0111,0.0092,0.0064,0.016
2.833289,-0.0112,-0.0026,-0.0008,0.012
2.837427,0.0078,0.0163,-0.0125,0.022
2.849813,-0.0064,0.0044,-0.0170,0.019
2.865932,-0.0085,0.0137,-0.0050,0.017
2.867598,-0.0156,0.0138,-0.0261,0.033
2.880167,-0.0330,0.0350,-0.0398,0.062
2.888228,0.0097,0.0204,-0.0956,0.098
2.897648,-0.0023,0.0317,0.0261,0.041
2.907708,-0.0045,-0.0042,0.0021,0.006
2.920398,-0.0046,0.0264,0.0279,0.039
2.935459,0.0001,0.0047,0.0039,0.006
2.938668,-0.0046,0.0235,-0.0103,0.026
2.951472,0.0048,0.0091,0.0017,0.010
2.957921,-0.0048,0.0137,0.0087,0.017
2.970196,-0.0049,0.0042,0.0062,0.009
2.985163,-0.0095,-0.0171,0.0014,0.020
2.987936,0.0047,0.0021,-0.0363,0.037
3.003841,-0.0140,0.0067,-0.0098,0.018
3.019322,-0.0162,-0.0005,-0.0026,0.016
3.020453,-0.0066,0.0043,0.0022,0.008
3.034602,-0.0090,-0.0028,0.0022,0.010
3.039473,0.0098,0.0042,0.0021,0.011
3.053549,-0.0111,-0.0055,-0.0050,0.013
3.069600,0.0002,0.0059,-0.0308,0.031
3.070667,-0.0428,-0.0087,0.1486,0.155
