time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.659983,-0.0233,-0.0001,0.0016,0.023
1.670049,0.0251,-0.0193,0.0114,0.034
1.679980,-0.0042,-0.0093,0.0114,0.015
1.690014,-0.0235,-0.0189,0.0212,0.037
1.700077,0.0247,0.0100,0.0017,0.027
1.710824,0.0146,0.0002,0.0115,0.019
1.720316,0.0428,0.0098,0.0017,0.044
1.730558,0.0034,0.0194,0.0213,0.029
1.740355,0.0226,-0.0099,0.0214,0.033
1.750872,0.0221,-0.0002,-0.0079,0.023
1.760298,-0.0071,-0.0002,0.0214,0.023
1.770425,0.0121,0.0092,0.0116,0.019
1.780370,-0.0072,-0.0100,0.0018,0.012
1.790291,-0.0166,-0.0385,-0.0080,0.043
1.800257,-0.0065,0.0007,0.0115,0.013
1.810507,-0.0063,0.0104,0.0115,0.017
1.820319,-0.0061,-0.0281,0.0115,0.031
1.830832,-0.0059,0.0012,0.0311,0.032
1.840757,0.0040,0.0301,0.0213,0.037
1.853162,0.0331,-0.0281,0.0213,0.048
1.861431,0.0037,0.0108,0.0115,0.016
1.870318,-0.0347,0.0299,-0.0178,0.049
1.880130,-0.0243,-0.0186,0.0114,0.033
1.890610,0.0145,0.0300,0.0311,0.046
1.900656,-0.0050,0.0005,0.0115,0.013
1.910586,-0.0146,-0.0091,0.0114,0.021
1.920809,0.0047,-0.0185,0.0114,0.022
1.930479,0.0236,-0.0085,-0.0080,0.026
1.940776,0.0039,-0.0180,0.0213,0.028
1.954428,0.0133,-0.0079,0.0017,0.016
1.962276,0.0034,-0.0268,0.0114,0.029
1.970397,0.0130,0.0122,0.0115,0.021
1.980346,0.0032,0.0023,-0.0375,0.038
1.991029,0.0128,0.0217,-0.0375,0.045
2.000939,0.0222,-0.0074,0.0115,0.026
2.010550,-0.0164,0.0024,0.0017,0.017
2.020792,0.0031,-0.0072,0.0213,0.023
2.030741,-0.0066,0.0218,0.0115,0.026
2.040962,0.0125,0.0310,-0.0080,0.034
2.054538,-0.0255,-0.0079,0.0016,0.027
2.060191,0.0230,0.0305,-0.0080,0.039
2.070326,0.0035,0.0302,0.0507,0.059
2.080122,0.0131,-0.0280,0.0115,0.033
2.090162,0.0127,0.0108,-0.0080,0.018
2.100102,-0.0067,0.0106,0.0115,0.017
